Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Jan. 31, 2021","Jan. 31, 2021",Run,340,4.498164760320001,2336,8.654644376839258,1.100106627296588,6.932683802879999,54.540185356799995,0,6205,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5429050492
"Jan. 29, 2021","Jan. 29, 2021",Run,273,4.19470685568,2426,9.634733158355205,0.41873769685039364,6.227453168639999,143.28794304,0,6378,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5421839008
"Jan. 27, 2021","Jan. 27, 2021",Run,246,3.7584619776,2119,9.391714885071183,4.869195150322119,6.3886128768,12.32236076544,0,5584,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5409001552
"Jan. 24, 2021","Jan. 24, 2021",Run,247,3.78683471232,2132,9.382580728545296,4.3021193728624825,6.39482494464,13.946607290879998,0,5619,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5393593789
"Jan. 22, 2021","Jan. 22, 2021",Run,307,4.527277793280001,2489,9.158887099339855,1.006689682255627,6.55101177984,59.60141130239999,0,6575,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5384702917
"Jan. 19, 2021","Jan. 19, 2021",Run,242,3.70836309888,2115,9.505425813250616,0.44809002922930086,6.31218513024,133.90176602879998,0,5568,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5371287922
"Jan. 15, 2021","Jan. 15, 2021",Run,383,5.34255537024,2857,8.91282410721387,0.5842417780163843,6.73186985856,102.69722960639999,0,7567,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5354297950
"Jan. 11, 2021","Jan. 11, 2021",Run,248,3.79554126336,2130,9.35138789469498,1.3932881969299291,6.416180939519999,43.0634704896,0,5616,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5335450357
"Jan. 8, 2021","Jan. 8, 2021",Run,321,4.20458822784,2173,8.612888232720909,0.8759221148492801,6.96630299904,68.49931334399999,0,5775,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5314123147
"Jan. 6, 2021","Jan. 4, 2021",Run,177,2.13510059136,1027,7.943174361727511,0.9061393959277818,7.553633091839999,66.21517140479999,0,2750,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5302820281
"Dec. 31, 2020","Dec. 31, 2020",Run,336,4.256956281600001,2156,8.438282927702218,0.35311095701105544,7.110435847679999,169.91775820799998,0,5741,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5226686605
"Dec. 28, 2020","Dec. 28, 2020",Run,317,4.0809101414399995,2086,8.519434005408414,1.1865517875606457,7.04271465216,50.5667150208,0,5550,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5218451668
"Dec. 24, 2020","Dec. 24, 2020",Run,260,3.7230403161600005,2019,9.037409031257456,2.7221712697844587,6.63905899008,22.041253555199997,0,5340,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5189772820
"Dec. 20, 2020","Dec. 20, 2020",Run,534,7.13399664384,3729,8.71174838940587,1.5902628648691641,6.88723592832,37.72962167039999,0,9899,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5165412412
"Dec. 18, 2020","Dec. 18, 2020",Run,310,4.2357129408,2242,8.820301936689733,5.289826165195259,6.80250396672,11.34252776448,,5944,b'Note',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5154506638
"Dec. 16, 2020","Dec. 16, 2020",Run,329,4.093366464,2052,8.354646365227072,0.7312358327368169,7.181649319679999,82.0530475776,0,5470,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5144597374
"Dec. 13, 2020","Dec. 13, 2020",Run,489,6.43365841536,3333,8.63233715103794,1.140253420027042,6.950611895039999,52.619916096,0,8855,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5121495409
"Dec. 11, 2020","Dec. 11, 2020",Run,371,5.09814429696,2706,8.846337389644477,0.19734749065457727,6.7824515404799985,304.032440448,0,7172,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5109716065
"Dec. 9, 2020","Dec. 9, 2020",Run,289,3.7008152755200006,1885,8.48507217847769,0.9019202855324903,7.07126441472,66.52464825599999,0,5017,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5097131731
"Dec. 6, 2020","Dec. 6, 2020",Run,377,5.0987236608,2681,8.76468921498449,0.37520070289509266,6.8456343859199995,159.9142368384,0,7113,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5078722372
"Dec. 4, 2020","Dec. 4, 2020",Run,428,5.4431876505600005,2764,8.463572735226277,1.4699840431877833,7.08919250688,40.8168262656,0,7358,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5068080340
"Dec. 1, 2020","Dec. 1, 2020",Run,179,2.19929732352,1092,8.265666010498688,0.467729087131154,7.258946112,128.2795227648,0,2914,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5054133265
"Nov. 30, 2020","Nov. 30, 2020",Run,157,2.19759141888,1175,8.91214059890241,1.425375805297065,6.73240094208,42.0941625984,0,3112,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5050043449
"Nov. 29, 2020","Nov. 29, 2020",Run,396,5.5214178624,2950,8.902136522707387,6.038137278294759,6.73994876544,9.93684624768,0,7814,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5043014053
"Nov. 28, 2020","Nov. 28, 2020",Run,157,2.08598341248,1087,8.676640917044459,2.6188620953630792,6.9151097664,22.910621184,0,2886,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5036795464
"Nov. 27, 2020","Nov. 27, 2020",Run,175,2.05234812288,944,7.659518412471169,0.7261902986558498,7.833369265919999,82.622916288,0,2540,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5031846697
"Nov. 26, 2020","Nov. 26, 2020",Run,152,2.06734720896,1091,8.786312932474349,0.007169940050107373,6.82880064768,8368.23474432,0,2893,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5026538986
"Nov. 25, 2020","Nov. 25, 2020",Run,147,2.10539210112,1142,9.040018790264853,0.41368719179988866,6.637143870719999,145.03729996799999,0,3021,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5023465624
"Nov. 24, 2020","Nov. 24, 2020",Run,148,2.0446876454400003,1086,8.847207309313609,7.187400580609242,6.781807802879999,8.34797310336,0,2878,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5019097159
"Nov. 23, 2020","Nov. 23, 2020",Run,139,2.1290172710400004,1201,9.396188757655294,2.466234689413823,6.38557121664,24.3286141824,0,3165,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5012442151
"Nov. 22, 2020","Nov. 22, 2020",Run,405,5.49166109184,2892,8.772829177602798,0.3790855155889605,6.83929357056,158.27576371199999,0,7671,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/5004947446
"Nov. 21, 2020","Nov. 21, 2020",Run,289,3.69061203456,1880,8.48438867016623,0.6076972977809592,7.07179549824,98.73325439999999,0,5003,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4997526094
"Nov. 20, 2020","Nov. 20, 2020",Run,164,2.11190994432,1079,8.510672671597868,6.979800465282749,7.049972793599999,8.59626269568,0,2871,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4989422563
"Nov. 18, 2020","Nov. 18, 2020",Run,186,2.64370157568,1428,8.998262646146504,1.0440092360614013,6.6679628083199995,57.4708007808,0,3778,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4975375936
"Nov. 17, 2020","Nov. 17, 2020",Run,169,2.07811372032,1031,8.26970492324823,7.023110037381691,7.255405555199999,8.54318653056,0,2751,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4969501591
"Nov. 16, 2020","Nov. 16, 2020",Run,151,2.0507226854400002,1081,8.782274019724806,0.3705397975821204,6.831938868479999,161.925755904,0,2867,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4961834140
"Nov. 15, 2020","Nov. 15, 2020",Run,325,4.62506153472,2499,9.004476358068878,0.3833456364829396,6.663360084479999,156.5165897856,0,6612,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4952447422
"Nov. 14, 2020","Nov. 14, 2020",Run,149,2.0841809472,1116,8.920839795593732,0.5014583581881811,6.725834818559999,119.6510249088,0,2955,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4941098302
