Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Oct. 23, 2020","Oct. 23, 2020",Run,245,3.50951255424,1514,7.187524854847689,0.9061828919112384,8.34777998208,66.2117917824,0,4222,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4784288230
"Oct. 5, 2020","Oct. 5, 2020",Run,230,3.3197065228800002,1394,6.994526962538774,0.6083472520480394,8.578125388799998,98.62784236799999,0,3883,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4732853887
"Sept. 2, 2020","Sept. 2, 2020",Run,155,2.26503902592,924,6.800845561918397,0.6879449017736419,8.822407714559999,87.215984064,0,2496,b'Fail :(',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4640693347
"Aug. 31, 2020","Aug. 31, 2020",Run,421,6.055687883520001,2568,7.0684701344150165,0.6003856229619025,8.4884044608,99.93575623679999,0,7070,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4634618461
"Aug. 27, 2020","Aug. 27, 2020",Run,173,2.5065532800000003,1041,6.924125606458284,1.983864232879981,8.66538402048,30.244079923199997,0,2910,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4623916693
"Aug. 24, 2020","Aug. 24, 2020",Run,363,5.22903224448,2210,7.041937584506482,0.2750636284100851,8.520349939199999,218.13209510399997,0,6186,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4615441936
"July 28, 2020","July 28, 2020",Run,301,4.382420739840001,1804,6.858881631273363,0.7056850493120178,8.747750246399999,85.0235747328,0,4978,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4538641081
"July 24, 2020","July 24, 2020",Run,257,3.6909821836800005,1596,7.2050475224687816,0.5420519168058539,8.3274700608,110.69051938559998,0,4353,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4526880385
"July 21, 2020","July 21, 2020",Run,332,4.84521979392,1986,6.828745128449853,1.1211462558657441,8.7863745024,53.516803507199995,0,5644,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4517735308
"July 13, 2020","July 13, 2020",Run,358,5.20173777024,2152,6.893864829396325,0.9816919191919191,8.70342891264,61.1190226944,0,6118,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4494134410
"July 11, 2020","July 11, 2020",Run,205,2.9862343526400004,1223,6.827253837588483,1.187738606537819,8.78832180864,50.51634255359999,0,3418,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4489004185
"July 11, 2020","July 9, 2020",Run,202,2.93072807808,1278,7.2624622206315115,0.9291798397359421,8.261647891199999,64.5728358528,0,3495,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4487508181
