Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Jan. 30, 2021","Jan. 30, 2021",Run,574,7.307065497600001,3116,7.10730583392985,4.971398284021316,8.4420553536,12.0690339264,,8088,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5425333618
"Jan. 27, 2021","Jan. 27, 2021",Run,454,5.86161709056,2418,6.875223693629206,3.8055443708740953,8.72697361536,15.76645348608,,6293,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5410085746
"Jan. 25, 2021","Jan. 25, 2021",Run,497,6.32618642304,2695,7.100097928099897,3.5036387497017416,8.45055268992,17.125029504,,6996,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5398695409
"Jan. 22, 2021","Jan. 22, 2021",Run,405,5.2601569574400004,2139,6.777357730851825,3.941866996739044,8.85301743744,15.22122383232,,5573,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5385230020
"Jan. 19, 2021","Jan. 19, 2021",Run,470,6.00673163904,2542,7.053184403085978,4.101074723614094,8.50676707584,14.630304902399999,,6602,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5372460973
"Jan. 17, 2021","Jan. 17, 2021",Run,614,7.908445163520001,3278,6.908218503937007,4.6200190885230255,8.68529160576,12.986971557119999,,8528,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5363492257
"Jan. 13, 2021","Jan. 13, 2021",Run,475,6.15108979584,2698,7.310369939553011,2.3609992642965083,8.207541745919999,25.4129901696,,6988,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5344680760
"Jan. 10, 2021","Jan. 10, 2021",Run,495,6.358598611200001,2662,6.977439254752247,4.565096088841167,8.59915951488,13.143206672639998,,6920,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5327512105
"Jan. 6, 2021","Jan. 6, 2021",Run,456,5.85909042048,2449,6.966378847530422,4.56947675574644,8.612806752,13.130605509119999,,6367,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5298468718
"Jan. 2, 2021","Jan. 2, 2021",Run,788,10.10304320256,4235,6.98632486280124,4.892241807842201,8.5881837888,12.264311727359999,,11008,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5247107101
"Dec. 31, 2020","Dec. 31, 2020",Run,425,5.58086702976,2203,6.579016046289667,4.60152086813012,9.11987885952,13.039162583039998,,5754,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5227050904
"Dec. 28, 2020","Dec. 28, 2020",Run,554,7.15140974592,2946,6.865778851507198,4.058280889604709,8.73899541504,14.78457661824,,7668,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5218295416
"Dec. 24, 2020","Dec. 24, 2020",Run,502,6.497822960640001,2666,6.838189970571861,4.288101238765609,8.774256142079999,13.992216099839998,,6941,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5190472873
"Dec. 19, 2020","Dec. 19, 2020",Run,796,10.10449161216,4341,7.160184522389246,4.203284071025212,8.379677180159998,14.27454331776,,11261,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5159389303
"Dec. 16, 2020","Dec. 16, 2020",Run,391,5.0788482624,2066,6.779781078501551,3.591227232959516,8.84987921664,16.707404736,,5383,b'Muddy lanes',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5144164390
"Dec. 13, 2020","Dec. 13, 2020",Run,808,10.299994721280001,4380,7.087359818659031,0,8.465760990719998,0,,10528,"b'Bypass, Ely, Tudd, 7cott, garage, pond2, Rush, Bent, Common, Humb, Rush, Lane, Schl, Rush, Home'",Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5122052779
"Dec. 10, 2020","Dec. 10, 2020",Run,644,8.182146297600001,3508,7.145644436490893,4.813712916567248,8.396720133119999,12.46440146688,,9102,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5103187444
"Dec. 7, 2020","Dec. 7, 2020",Run,553,7.176901754880001,2926,6.794942535592141,4.529093841962936,8.83008428544,13.247669191679998,,7622,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5085037759
"Dec. 5, 2020","Dec. 5, 2020",Run,390,5.035444254720001,2077,6.874602322436967,5.018703272886343,8.727794380799999,11.95528549248,,5406,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5074051240
"Dec. 1, 2020","Dec. 1, 2020",Run,331,4.3224565824,1744,6.724603316630875,4.825717808001272,8.922492817919998,12.433373314559999,,4547,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5054292718
"Nov. 28, 2020","Nov. 28, 2020",Run,396,5.076353779200001,2126,6.980049013759643,4.581183389008192,8.59590864,13.09705068672,,5526,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5038232479
"Nov. 24, 2020","Nov. 24, 2020",Run,396,5.096953382400001,2116,6.919154636920386,3.654694086534638,8.671547808,16.4172400128,,5504,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5017316140
"Nov. 22, 2020","Nov. 22, 2020",Run,490,6.298634453760001,2632,6.964452596834486,4.227150938519049,8.61515639424,14.19396346368,,6843,b'Sunny day',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5003290735
"Nov. 19, 2020","Nov. 19, 2020",Run,464,6.056524742400001,2436,6.703538833214029,4.71088219796389,8.95054368384,12.73647716352,,6353,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4983865510
"Nov. 19, 2020","Nov. 17, 2020",Run,407,5.27444793216,2160,6.825389724011772,3.5509685934144595,8.79073582464,16.8968245248,,5625,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4983551110
"Nov. 14, 2020","Nov. 14, 2020",Run,477,6.056975358720001,2594,7.137753022349479,4.396859838542909,8.40597386112,13.6461105792,,6731,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4939337020
"Nov. 10, 2020","Nov. 10, 2020",Run,373,4.90000186368,1938,6.591816292849757,4.159558180227472,9.10215998208,14.424614645759998,,5007,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4885584553
"Nov. 8, 2020","Nov. 8, 2020",Run,171,2.26634259456,874,6.427401475383759,3.9651808438717886,9.33503205888,15.131712119039998,,2287,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4858531804
"Nov. 7, 2020","Nov. 7, 2020",Run,406,5.24395086336,2158,6.858695219915692,4.497497116837668,8.74800774144,13.340753648639998,,5617,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4848477115
"Nov. 4, 2020","Nov. 4, 2020",Run,398,5.12102916864,2135,6.948483357193987,3.9834740117712557,8.634983512319998,15.06223673856,,5552,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4820198125
